"","X","DR.NUMBER","DATE.REPORTED","DATE.OCCURRED","TIME.OCCURRED","AREA.ID","AREA.NAME","REPORTING.DISTRICT","CRIME.CODE","CRIME.CODE.DESCRIPTION","crime.type.record","level.detail","MO.CODES","VICTIM.AGE","VICTIM.SEX","VICTIM.DESCENT","PREMISE.CODE","PREMISE.DESCRIPTION","WEAPON.USED.CODE","WEAPON.DESCRIPTION","STATUS.CODE","STATUS.DESCRIPTION","CRIME.CODE.1","CRIME.CODE.2","CRIME.CODE.3","CRIME.CODE.4","ADDRESS","CROSS.STREET","LOCATION","LATITUDE","LONGITUDE","geometry","index_right","CT10","GEOID10","LABEL","OBJECTID","Shape_STAr","Shape_STLe","X_Center","Y_Center","year","month","day","day_of_week","duration"
"1",1,160101129,2016-08-01,2016-08-01,1310,1,"Central",147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","0416 1402 1218 0319 0342 0445",53,"M","B",101,"STREET",312,"PIPE/METAL PIPE","AO","Adult Other",230,998,NA,NA,"SAN PEDRO","WINSTON","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,1,"Tuesday",0
"2",2,160120276,2016-08-02,2016-08-01,2215,1,"Central",157,210,"ROBBERY","Robbery","","0305 0344 0445 1218 0342 0429",69,"M","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",210,NA,NA,NA,"6TH                          ST","CROCKER","(34.0417, -118.2443)",34.0417,-118.2443,"POINT (-118.2443 34.0417)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,1,"Tuesday",1
"3",3,160120325,2016-08-02,2016-08-02,1950,1,"Central",156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","2004 1402 0416 1218 0445 1822",49,"M","B",517,"",312,"PIPE/METAL PIPE","AO","Adult Other",230,998,NA,NA,"500 S  SAN PEDRO                    ST","","(34.0437, -118.2455)",34.0437,-118.2455,"POINT (-118.2455 34.0437)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,2,"Wednesday",0
"4",4,160120339,2016-08-02,2016-08-02,1700,1,"Central",166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","Assault","Aggravated","1218 0416 0445",28,"M","H",102,"SIDEWALK",309,"BOARD","IC","Invest Cont",230,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,2,"Wednesday",0
"5",5,160120355,2016-08-02,2016-08-02,2115,1,"Central",156,626,"INTIMATE PARTNER - SIMPLE ASSAULT","Intimate partner assault","Simple","2000 0416 1218 2004",44,"F","B",102,"SIDEWALK",NA,"","AO","Adult Other",626,NA,NA,NA,"6TH                          ST","WALL                         ST","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,2,"Wednesday",0
"6",6,160121166,2016-08-14,2016-08-03,1200,1,"Central",156,440,"THEFT PLAIN - PETTY ($950 & UNDER)","Theft","","0344 1218",46,"F","B",101,"STREET",NA,"","IC","Invest Cont",440,NA,NA,NA,"5TH","WALL","(34.0449, -118.2458)",34.0449,-118.2458,"POINT (-118.2458 34.0449)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,3,"Thursday",11
"7",7,160120650,2016-08-06,2016-08-04,1600,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 2004 0444 0319",61,"F","B",507,"CONDOMINIUM/TOWNHOUSE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,4,"Friday",2
"8",8,160120613,2016-08-06,2016-08-06,1325,1,"Central",166,624,"BATTERY - SIMPLE ASSAULT","Battery","","1218 0416",64,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","","(34.0421, -118.2469)",34.0421,-118.2469,"POINT (-118.2469 34.0421)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,6,"Sunday",0
"9",9,160120679,2016-08-06,2016-08-06,2115,1,"Central",157,624,"BATTERY - SIMPLE ASSAULT","Battery","","0416 1218",56,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"5TH","SAN PEDRO","(34.0442, -118.2439)",34.0442,-118.2439,"POINT (-118.2439 34.0442)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,6,"Sunday",0
"10",10,160120843,2016-08-09,2016-08-07,500,1,"Central",166,220,"ATTEMPTED ROBBERY","Robbery","Attempt","0416 0337 1218 0202",28,"F","B",504,"OTHER RESIDENCE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",220,NA,NA,NA,"600    SAN JULIAN                   ST","","(34.0428, -118.2461)",34.0428,-118.2461,"POINT (-118.2461 34.0428)",691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,7,"Monday",2
